Income_Segment,Avg_Spend_Segment,Avg_Recency_Segment,Count_ID
High Income,1216.94673123487,4440.15133171913,826
Low Income,72.1837837837838,4453.80810810811,370
Middle Income,299.450199203187,4440.42928286853,1004
Premium Income,607.945945945946,4455.5945945946,37
